train/samples,train/episodes,train/grad_norm,train/lr,train/update_s,_step,train/epochs,train/loss,train/dataloading_s,_runtime,train/steps,_timestamp
3200,9.007679879801056,2.2337258011102676,2.534965034965035e-06,6.120830766030267,200,0.014481800449840926,0.18371111154556274,0.03390315458978876,2586.81019784,200,1787146935.429703
6400,18.015359759602113,1.4628982824087142,7.529970029970028e-06,6.104483215089422,400,0.028963600899681852,0.11094976216554642,0.02006275422478211,3813.43809534,400,1787148161.1158292
9600,27.02303963940317,1.3574457150697707,1.252497502497502e-05,6.108998926210043,600,0.04344540134952278,0.08035039156675339,0.020223755084589356,5040.779478883,600,1787149387.7438543
12800,36.030719519204226,1.0051831996440888,1.7519980019980013e-05,6.112798857744929,800,0.057927201799363705,0.08059215545654297,0.02003763614426134,6268.737057177,800,1787150615.0851417
16000,45.038399399005286,0.7585058124363422,2.2514676871599475e-05,6.115852679774544,1000,0.07240900224920463,0.06503617018461227,0.02005781341518741,7496.589763321,1000,1787151843.0426457
19200,54.04607927880634,0.6044877363741398,2.4925171647491237e-05,6.1152515952455,1200,0.08689080269904556,0.06989742070436478,0.02010766052088002,8724.484077105,1200,1787153070.8955703
22400,63.0537591586074,0.5229363383352756,2.4895629540266e-05,6.115289402265043,1400,0.10137260314888649,0.052376195788383484,0.020187691894971067,9949.776700006,1400,1787154298.789666
25600,72.06143903840845,0.47228750482201576,2.4861198591557927e-05,6.102395692635764,1600,0.11585440359872741,0.0576648935675621,0.020186379229708108,11174.997837195,1600,1787155524.0823364
28800,81.06911891820951,0.4557974156737328,2.482189390391904e-05,6.102058590225933,1800,0.13033620404856833,0.04847284406423569,0.020137864820862886,12400.808086589,1800,1787156749.3028438
32000,90.07679879801057,0.41778931066393854,2.4777732717684375e-05,6.105017568209587,2000,0.14481800449840926,0.05109849199652672,0.020148138575168558,13626.908091303,2000,1787157975.1136446
35200,99.08447867781162,0.3974689309298992,2.472873440340979e-05,6.106486602940858,2200,0.1592998049482502,0.05153410881757736,0.020095389189518757,14851.913511358,2200,1787159201.213713
38400,108.09215855761268,0.3908233557641506,2.4674920453375257e-05,6.101014250611042,2400,0.17378160539809112,0.04650776460766792,0.02008939477484091,16078.003123564,2400,1787160426.2191226
41600,117.09983843741374,0.3906641452014446,2.461631447215789e-05,6.106441477650805,2600,0.18826340584793205,0.03674403950572014,0.020082108010537923,17303.837628699,2600,1787161652.3087647
44800,126.1075183172148,0.38046822547912595,2.4552942166278017e-05,6.105176510814345,2800,0.20274520629777298,0.03787384182214737,0.020082079350977437,18531.013160538,2800,1787162878.1433198
48000,135.11519819701584,0.3786706797778606,2.4484831332923398e-05,6.111879005759111,3000,0.2172270067476139,0.043982576578855515,0.02008233063010266,19758.272423122,3000,1787164105.3188105
51200,144.1228780768169,0.3463585329055786,2.441201184775669e-05,6.1121195959841135,3200,0.23170880719745482,0.030223971232771873,0.02019067423447268,20984.076477529,3200,1787165332.5782056
54400,153.13055795661796,0.3604710713773966,2.4334515651810752e-05,6.104995950555021,3400,0.24619060764729575,0.038572829216718674,0.020140320299688028,22212.149773788,3400,1787166558.3820832
57600,162.13823783641902,0.35226926296949385,2.4252376737478434e-05,6.116402706485387,3600,0.26067240809713665,0.04208334535360336,0.0200653128248814,23438.144686788,3600,1787167786.455412
60800,171.14591771622008,0.3466828905791044,2.4165631133602245e-05,6.1060013115644685,3800,0.2751542085469776,0.05156021565198898,0.02008667159054312,24663.737635018,3800,1787169012.4505517
64000,180.15359759602114,0.33949212029576303,2.407431688967105e-05,6.104059731908347,4000,0.2896360089968185,0.03215295448899269,0.020047053225134732,25889.440583531,4000,1787170238.0432706
67200,189.16127747582217,0.3270844153314829,2.397847405913016e-05,6.10459005781915,4200,0.30411780944665945,0.036783184856176376,0.0200365792735829,27116.410783784,4200,1787171463.746396
70400,198.16895735562323,0.32745651580393315,2.3878144681812718e-05,6.110921591914376,4400,0.3185996098965004,0.043582890182733536,0.020013544031389757,28342.083639232,4400,1787172690.71641
73600,207.1766372354243,0.3321611648797989,2.3773372765499513e-05,6.104472257696034,4600,0.3330814103463413,0.03688212111592293,0.020033928724878934,29566.844395285,4600,1787173916.3892603
76800,216.18431711522535,0.32330109357833864,2.366420426661579e-05,6.099799493244063,4800,0.34756321079618224,0.0552850067615509,0.02010156541437027,30791.983136792,4800,1787175141.1502512
80000,225.19199699502641,0.32321450755000114,2.355068707007324e-05,6.10176702873985,5000,0.3620450112460232,0.04242875427007675,0.020017236930143553,32017.397668521,5000,1787176366.2887776
83200,234.19967687482747,0.3199357064068317,2.3432870968266e-05,6.102942951835285,5200,0.3765268116958641,0.04708583652973175,0.02019704192673089,33244.081253631,5200,1787177591.7032824
86400,243.20735675462853,0.31840927876532077,2.3310807639230185e-05,6.109398627950432,5400,0.39100861214570504,0.04956129193305969,0.020101275534834713,34470.350574792,5400,1787178818.3868592
89600,252.2150366344296,0.3202235117554665,2.3184550623976177e-05,6.1073012032204135,5600,0.40549041259554597,0.03321533650159836,0.020107965139177394,35695.597293992,5600,1787180044.656202
92800,261.2227165142306,0.30492511443793774,2.30541553030037e-05,6.102283591574815,5800,0.41997221304538684,0.02748030424118042,0.02006750148080755,36921.906203372,5800,1787181269.9028962
96000,270.2303963940317,0.3099508000910282,2.291967887201007e-05,6.107588746494002,6000,0.4344540134952278,0.027752146124839783,0.02005266007676255,38146.906984192,6000,1787182496.2118216
99200,279.23807627383275,0.30870793111622336,2.27811803168025e-05,6.101005761954293,6200,0.4489358139450687,0.038044579327106476,0.020088153260585388,39371.440111859,6200,1787183721.212587
102400,288.2457561536338,0.3086224953830242,2.2638720387424646e-05,6.098698778319813,6400,0.46341761439490964,0.04081251472234726,0.020057263070339105,40593.621689597,6400,1787184945.7457168
105600,297.25343603343487,0.307229303047061,2.2492361571509936e-05,6.08696028919614,6600,0.47789941484475057,0.02996463142335415,0.020063689506059745,41813.499017082,6600,1787186167.9272902
108800,306.2611159132359,0.30828323751688,2.2342168066872198e-05,6.075405815559934,6800,0.4923812152945915,0.04346681386232376,0.02006380373990396,43034.536238401,6800,1787187387.804641
112000,315.268795793037,0.29386590600013734,2.218820575334654e-05,6.081175550228799,7000,0.5068630157444324,0.02887330949306488,0.020073761084931904,44260.191824218,7000,1787188608.841853
115200,324.27647567283805,0.3017086844146252,2.2030542163892144e-05,6.101299169088597,7200,0.5213448161942733,0.027404386550188065,0.021142198400484633,45483.750341971,7200,1787189834.4975631
118400,333.2841555526391,0.3011696792393923,2.1869246454970168e-05,6.09099739308047,7400,0.5358266166441142,0.03308778628706932,0.02095307856972795,46706.321456568,7400,1787191058.0553505
121600,342.29183543244017,0.2974660148471594,2.1704389376209448e-05,6.086323402355483,7600,0.5503084170939552,0.02666928991675377,0.020797516675083897,47938.282948711,7600,1787192280.627077
124800,351.2995153122412,0.29826137676835063,2.1536043239373306e-05,6.134774503969675,7800,0.5647902175437961,0.02760544791817665,0.020803786969481736,49169.523881031,7800,1787193512.588523
128000,360.3071951920423,0.30390200793743133,2.1364281886641234e-05,6.13129102751569,8000,0.579272017993637,0.030068669468164444,0.020702535574673674,50421.844492589,8000,1787194743.8294325
131200,369.31487507184335,0.30050611406564715,2.1189180658219314e-05,6.236778711005318,8200,0.593753818443478,0.029299713671207428,0.02063244352990296,51651.605643676,8200,1787195996.1500652
134400,378.32255495164435,0.3067204895615578,2.1010816359293473e-05,6.1241276693847615,8400,0.6082356188933189,0.031005406752228737,0.02054414177473518,52873.86884286,8400,1787197225.9112885
137600,387.3302348314454,0.3048806378990412,2.082926722634022e-05,6.086287939794129,8600,0.6227174193431598,0.03898600488901138,0.020739271580241622,54107.511358152,8600,1787198448.1744301
140800,396.33791471124647,0.30282981887459753,2.0644612892809547e-05,6.142906025821867,8800,0.6371992197930008,0.04585868865251541,0.020928277404309484,55358.489353993,8800,1787199681.816954
144000,405.34559459104753,0.30022016987204553,2.045693435419497e-05,6.229428093244787,9000,0.6516810202428417,0.03706971928477287,0.02102309044887079,56596.498299028,9000,1787200932.7949107
147200,414.3532744708486,0.3018767666816711,2.0266313932506413e-05,6.164804573059664,9200,0.6661628206926826,0.028496241196990013,0.020864389939670217,57819.331616382,9200,1787202170.8038063
150400,423.36095435064965,0.30002898409962653,2.0072835240160855e-05,6.089221479060216,9400,0.6806446211425236,0.036520831286907196,0.020708430459635566,59041.599457937,9400,1787203393.6371875
153600,432.3686342304507,0.29167857334017755,1.9876583143307318e-05,6.086516334799235,9600,0.6951264215923645,0.030775824561715126,0.02061109245623811,60274.908314847,9600,1787204615.9050348
156800,441.37631411025177,0.30246451795101165,1.967764372460164e-05,6.141551408105734,9800,0.7096082220422054,0.03911055251955986,0.020699306323222116,61524.111811293,9800,1787205849.2143655
160000,450.38399399005283,0.2990980709344149,1.94761042454479e-05,6.220675246745231,10000,0.7240900224920463,0.027956847101449966,0.02088071998761734,62798.584378939,10000,1787207098.4173136
163200,459.3916738698539,0.2960059811919928,1.9272053107722607e-05,6.11266722985165,10200,0.7385718229418873,0.03235043212771416,0.02073474030563375,64025.704653988,10200,1787208372.8899996
166400,468.39935374965495,0.2995911695063114,1.9065579814998712e-05,6.110157207419397,10400,0.7530536233917282,0.044682517647743225,0.02059039863583166,65255.394883338,10400,1787209600.0103147
169600,477.407033629456,0.2997289265692234,1.8856774933286374e-05,6.123771351514733,10600,0.7675354238415691,0.02907979115843773,0.020608708445797673,66485.309678558,10600,1787210829.7005508
172800,486.41471350925707,0.2958619100600481,1.8645730051307813e-05,6.1248905294909495,10800,0.7820172242914101,0.02169427089393139,0.02060168507596245,67712.190246895,10800,1787212059.6152363
176000,495.42239338905813,0.29062336064875127,1.8432537740323375e-05,6.110094830006128,11000,0.796499024741251,0.024896977469325066,0.020384711259684992,68944.151887632,11000,1787213286.4959204
179200,504.4300732688592,0.29930228263139724,1.82172915135267e-05,6.134470795725647,11200,0.8109808251910919,0.019385309889912605,0.02091254693834344,70175.594112168,11200,1787214518.456979
182400,513.4377531486602,0.3041987068206072,1.8000085785026815e-05,6.132561861095891,11400,0.8254626256409328,0.020050426945090294,0.020526409395679367,71404.008318627,11400,1787215749.8991754
