memory_percent,proc.memory.percent,cpu,proc.cpu.threads,disk./.usagePercent,disk./.usageGB,disk.nvme0n1p2.in,disk.nvme0n1p2.out,network.sent,network.recv,proc.memory.availableMB,proc.memory.rssMB,_timestamp,gpu.0.gpu,gpu.0.memory,gpu.0.memoryAllocated,gpu.0.memoryAllocatedBytes,gpu.0.temp,gpu.0.powerWatts,gpu.0.enforcedPowerLimitWatts,gpu.0.powerPercent,gpu.0.smClock,gpu.0.memoryClock,gpu.0.correctedMemoryErrors,gpu.0.uncorrectedMemoryErrors,gpu.0.fanSpeed,gpu.1.gpu,gpu.1.memory,gpu.1.memoryAllocated,gpu.1.memoryAllocatedBytes,gpu.1.temp,gpu.1.powerWatts,gpu.1.enforcedPowerLimitWatts,gpu.1.powerPercent,gpu.1.smClock,gpu.1.memoryClock,gpu.1.correctedMemoryErrors,gpu.1.uncorrectedMemoryErrors,gpu.1.fanSpeed
3.7384541476289543,1.6590351834237798,6.076281382562705,184,90.59158317016117,1612.825813293457,0,2.5390625,220230,336720,495297.0625,8536.27734375,1787145589.312337,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145589.3125184,0.0,2,1.3263002518016844,640679936,61.0,32.57,300.0,10.856666666666667,210,405,0,0,41,0.0,0,0.032424893635495354,15663104,56.0,31.32,300.0,10.440000000000001,210,405,0,0,30
4.466889790372791,2.3987515429752913,4.638194935772373,184,90.59158916970863,1612.8259201049805,0.4453125,6.26171875,322946,584326,491549.0234375,12342.359375,1787145604.310856,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145604.3106554,0.0,1,1.3486856386211687,651493376,60.0,30.797,300.0,10.265666666666668,210,405,0,0,40,0.0,0,0.032424893635495354,15663104,56.0,24.182,300.0,8.060666666666666,210,405,0,0,30
5.159807004161308,3.097054408896095,5.57806937035918,184,90.59159388363878,1612.8260040283203,0.82421875,7.73046875,443003,842653,487983.73828125,15935.35546875,1787145619.3100562,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145619.3103387,4.0,3,1.3284709559781192,641728512,59.0,30.499,300.0,10.166333333333332,210,405,0,0,39,0.0,0,0.032424893635495354,15663104,56.0,23.303,300.0,7.767666666666667,210,405,0,0,30
6.636411762425204,4.566589644654232,4.846415042695669,184,90.59160545419459,1612.8262100219727,0.859375,14.0546875,900265,1355914.0,480386.125,23496.59375,1787145634.3100429,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145634.3122745,14.0,8,1.379346835113311,666304512,60.0,34.784,300.0,11.594666666666665,315,405,0,0,38,0.0,0,0.032424893635495354,15663104,56.0,23.181,300.0,7.727,210,405,0,0,30
7.6191323295345255,5.544002755595409,4.368094402543314,184,90.5916170247504,1612.826416015625,0.859375,16.41796875,1300425.0,1804879.0,475329.70703125,28525.703125,1787145649.3094172,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145649.3108506,16.0,7,1.3691716592862726,661389312,59.0,30.66,300.0,10.22,210,405,0,0,37,0.0,0,0.032424893635495354,15663104,56.0,22.942,300.0,7.647333333333334,210,405,0,0,30
8.498403432004164,6.426581623266679,4.0306979975754365,184,90.59162173868054,1612.8264999389648,0.859375,17.9921875,1499085.0,2058074.0,470805.5703125,33066.859375,1787145664.3091376,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145664.3108315,9.0,4,1.4178768342450292,684916736,59.0,30.533,300.0,10.177666666666667,210,405,0,0,36,0.0,0,0.032424893635495354,15663104,55.0,22.721,300.0,7.573666666666666,210,405,0,0,30
